incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude
1317487-1304,Auburn St & Lyndon St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-08-02 18:42:00,0813,08,48223,-83.23474289613618,42.39354012319811
1382436-1304,Runyon St & Linnhurst St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-01-06 00:15:00,0904,09,48234,-83.00696314840367,42.43077635809928
1239683-0901,Orangelawn St & Longacre St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-02-03 20:14:00,0608,06,48227,-83.21430666394,42.36755976898463
1070330-0901,Lappin St & Albion St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-01-04 10:50:00,0901,09,48234,-83.00582696269126,42.43644204947648
668281-0901,Fleming St & E Outer Dr,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-05-19 12:49:00,1102,11,48234,-83.07918584194994,42.44020550684048
668282-1304,Fleming St & E Outer Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-19 12:49:00,1102,11,48234,-83.07918584194994,42.44020550684048
1054092-1304,Troester St & Celestine St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-26 21:31:00,0906,09,48205,-82.97259869973838,42.42631100697931
1384109-0901,Riverview St & Dale St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-11-11 02:39:00,0601,06,48223,-83.27339320260184,42.38806648038019
1076135-1304,Russell St & E Canfield St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-01-18 23:01:00,0706,07,48207,-83.048119075588,42.357845903270366
1072463-1304,Pelkey St & Lappin St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-01-09 17:13:00,0901,09,48205,-82.98641759543378,42.43695229255388
928904-1304,S I  375 Service Drive & Gratiot Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-02-20 09:19:00,0312,03,48207,-83.04185467409962,42.33949140863403
621326-1304,Waltham St & Nashville St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-01-06 19:19:00,0909,09,48205,-82.99235710749436,42.42198656190234
661755-1304,Northlawn St & Intervale St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-02 23:07:00,1002,10,48238,-83.15314009655565,42.39179616277527
1066862-1304,Moross Rd & Peerless St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-12-27 00:07:00,0907,09,48224,-82.9354664665495,42.42736083994514
1074684-1304,Grand River Ave & Patton St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-01-14 01:28:00,0810,08,48219,-83.24425047924801,42.41114698089383
1169917-1304,Waltham St & Sauer St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-08-17 17:39:00,0905,09,48205,-82.99446452276017,42.42529886658749
1189972-1304,Taylor St & Linwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-10-01 12:00:00,1007,10,48206,-83.10794637684155,42.37221708714451
652145-0901,Berden St & Lodewyck St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-04-06 17:43:00,0505,05,48224,-82.92579310891989,42.41773077020389
652131-1304,Berden St & Lodewyck St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-04-06 17:43:00,0505,05,48224,-82.92579310891989,42.41773077020389
1012175-1304,W McNichols Rd & Snowden St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-08-26 00:03:00,1207,12,48235,-83.17755415443105,42.416607164949816
1012095-0901,W McNichols Rd & Snowden St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-08-26 00:03:00,1207,12,48235,-83.17755415443105,42.416607164949816
1358380-0901,Ellery St & Mack Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-11-03 21:54:00,0707,07,48207,-83.02416373317234,42.36036555058225
1058891-1304,Curtis St & Fenmore St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-12-08 07:40:00,0808,08,48235,-83.21792561751383,42.42281410262743
1354684-0901,Beaconsfield St & Grayton St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-10-26 13:20:00,0907,09,48224,-82.94901128812774,42.42004193514345
1343902-1304,Cardoni St & E 7 Mile Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-10-01 19:20:00,1106,11,48203,-83.09154191892786,42.43260742873846
