incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude,cvi_zone,buffer,cvi_area
1144680-0901,Mount Elliott St & E Outer Dr,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-06-24 13:52:00,1104,11,48234.0,-83.03918446478556,42.440927215754414,Non-CVI,False,Non-CVI
1144163-1304,Mount Elliott St & E Outer Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-06-24 13:52:00,1104,11,48234.0,-83.03918446478556,42.440927215754414,Non-CVI,False,Non-CVI
921147-0901,Elmira St & Iris St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2023-01-31 19:38:00,208,2,48227.0,-83.16992135392461,42.37080017299903,Non-CVI,False,Non-CVI
1369016-1304,Sloan St & Thaddeus St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-11-27 00:00:00,412,4,48209.0,-83.11689677180748,42.29311599358792,Non-CVI,False,Non-CVI
1036104-1304,Roselawn St & W McNichols Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-10-18 00:15:00,1208,12,48221.0,-83.15235537002981,42.41708536405943,Non-CVI,False,Non-CVI
1397654-1304,Saint John St & Apple St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-18 18:18:00,405,4,48210.0,-83.12827031889832,42.32961190290169,Non-CVI,False,Non-CVI
851967-0901,Fairview St & Mack Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-08-15 08:39:00,501,5,48214.0,-82.98171893599095,42.377743211354016,Non-CVI,False,Non-CVI
1317068-1304,W Philadelphia St & Linwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-08-01 18:55:00,1007,10,48206.0,-83.1051602595775,42.368055449353164,Non-CVI,False,Non-CVI
1399665-1304,Eliot St & Saint Antoine St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-02-23 23:21:00,312,3,48201.0,-83.05020522568432,42.34953024971428,Non-CVI,False,Non-CVI
1395308-0901,E Lantz St & Dwyer St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2026-02-12 12:39:00,1104,11,48234.0,-83.04163567192076,42.43850388438028,Non-CVI,False,Non-CVI
