cvi_name,cvi_area_sq_miles,GEOID,tract_area_sq_miles,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units,intersection_area_sq_miles,overlap_share,total_population_weighted,poverty_universe_weighted,below_poverty_weighted,housing_units_weighted,occupied_units_weighted,vacant_units_weighted
Team Pursuit,4.575201179084904,26163503900,0.37985520816243956,1795.0,1795.0,756.0,936.0,611.0,325.0,0.00039554278626536117,0.0010412988364140398,1.8691314113632014,1.8691314113632014,0.7872219203290141,0.9746557108835412,0.6362335890489783,0.33842212183456294
Team Pursuit,4.575201179084904,26163504000,0.24400942484704685,1024.0,1023.0,191.0,540.0,378.0,162.0,0.0007695757135306554,0.0031538770029602378,3.2295700510312835,3.2264161740283233,0.6023905075654055,1.7030935815985284,1.1921655071189698,0.5109280744795586
Team Pursuit,4.575201179084904,26163504100,0.28518610570404507,1209.0,1185.0,457.0,756.0,547.0,209.0,9.590455374004565e-05,0.00033628760946569964,0.40657171984403084,0.3985008172168541,0.15368343752582472,0.2542334327560689,0.1839493223777377,0.07028411037833122
Team Pursuit,4.575201179084904,26163505400,0.5367027149768824,2183.0,2183.0,586.0,1317.0,841.0,476.0,0.1097665113090329,0.20452013423066234,446.4674530255359,446.4674530255359,119.84879865916814,269.3530167817823,172.00143288798702,97.35158389379528
New Era CC,3.686271973880809,26163536200,0.25978407953702604,2017.0,1994.0,384.0,1022.0,936.0,86.0,0.25884649912835717,0.996390924300135,2009.7204943133722,1986.803503054469,382.61411493125183,1018.3115246347379,932.6219051449264,85.6896194898116
New Era CC,3.686271973880809,26163536600,0.7029926559340657,2343.0,2343.0,549.0,1760.0,1074.0,686.0,0.23018280094385415,0.32743272493794473,767.1748745296045,767.1748745296045,179.76056599093167,576.2815958907827,351.66274658335266,224.61884930743008
New Era CC,3.686271973880809,26163536700,0.24855000331362415,1246.0,1246.0,369.0,591.0,438.0,153.0,0.2470848878564001,0.9941053492750296,1238.655265196687,1238.655265196687,366.8248738824859,587.5162614215425,435.41814298246294,152.0981184390795
New Era CC,3.686271973880809,26163536800,0.2450508038061477,1613.0,1542.0,681.0,748.0,557.0,191.0,0.24475648616887968,0.9987989525735209,1611.0627105010892,1540.1479848683693,680.1820867025677,747.1016165249937,556.3310165834512,190.77059994154249
New Era CC,3.686271973880809,26163536900,0.3762887010653107,3608.0,3599.0,1009.0,1354.0,1161.0,193.0,0.3762887010653108,1.0,3608.0,3599.0,1009.0,1354.0,1161.0,193.0
New Era CC,3.686271973880809,26163537000,0.3886955056495445,2992.0,2895.0,745.0,1482.0,1054.0,428.0,0.3886955056495446,1.0,2992.0,2895.0,745.0,1482.0,1054.0,428.0
New Era CC,3.686271973880809,26163537100,0.44045436223747464,2100.0,2100.0,669.0,1077.0,836.0,241.0,0.4404543622374745,0.9999999999999997,2099.999999999999,2099.999999999999,668.9999999999998,1076.9999999999995,835.9999999999998,240.99999999999991
New Era CC,3.686271973880809,26163537200,0.4479080180707515,638.0,638.0,357.0,403.0,214.0,189.0,0.24333925938240325,0.5432795341117681,346.61234276330805,346.61234276330805,193.9507936779012,218.94165224704255,116.26182029991837,102.67983194712417
New Era CC,3.686271973880809,26163537300,0.497469595457361,2156.0,2156.0,171.0,1174.0,814.0,360.0,0.006197679101549557,0.012458407826616152,26.860327274184424,26.860327274184424,2.130387738351362,14.626170788447363,10.141143970865548,4.485026817581814
New Era CC,3.686271973880809,26163537500,0.362934045020809,2976.0,2976.0,914.0,1351.0,1194.0,157.0,0.1110402784825391,0.30595167360552394,910.5121806500392,910.5121806500392,279.6398296754489,413.34071104106283,365.3062982849956,48.03441275606726
New Era CC,3.686271973880809,26163537600,0.3669729033147451,3415.0,3294.0,1511.0,1397.0,1213.0,184.0,0.11226622044301753,0.3059250953652268,1044.7342006722495,1007.717264133057,462.25281909685765,427.3773582252218,371.0871406780201,56.29021754720173
New Era CC,3.686271973880809,26163537700,0.36474215518978736,2607.0,2607.0,781.0,1409.0,1088.0,321.0,0.11197873560712189,0.30700793427306383,800.3696846498774,800.3696846498774,239.77319666726285,432.57417939074696,334.02463248909345,98.54954690165349
New Era CC,3.686271973880809,26163537800,0.32006274165170573,1266.0,1266.0,608.0,912.0,564.0,348.0,0.1842509112637476,0.5756712271878573,728.7997736198274,728.7997736198274,350.00810613021724,525.0121591953259,324.67857213395155,200.33358706137435
New Era CC,3.686271973880809,26163538500,0.49741857860005945,5512.0,5512.0,844.0,2448.0,2066.0,382.0,0.0008428575521794192,0.001694463352276803,9.339881997749739,9.339881997749739,1.4301270693216217,4.148046286373614,3.500761285803875,0.6472850005697387
New Era CC,3.686271973880809,26163538700,0.4990280600433146,3574.0,3574.0,997.0,1484.0,1392.0,92.0,0.24780019945178022,0.49656566292138293,1774.7256792810226,1774.7256792810226,495.0759659326188,736.9034437753322,691.2194027865651,45.68404098876723
New Era CC,3.686271973880809,26163539400,0.46105386219352346,3884.0,3838.0,542.0,1618.0,1460.0,158.0,0.13416907391333624,0.29100520549813746,1130.264218154766,1116.8779787018516,157.72482137999052,470.8464224959864,424.8676000272807,45.97882246870572
New Era CC,3.686271973880809,26163539500,0.6008492442938651,2566.0,2427.0,462.0,1326.0,1186.0,140.0,0.3480775156332469,0.5793092342860768,1486.5074951780732,1405.9835116123086,267.6408662401675,768.1640446633379,687.0607518632871,81.10329280005075
Force Detroit,3.9234418407307774,26163545700,0.4212198790001758,3175.0,3161.0,1887.0,1169.0,1049.0,120.0,0.39501666103064054,0.9377920670987032,2977.4898130383826,2964.360724099001,1769.613630615253,1096.2789264383841,983.7438783865397,112.53504805184438
Force Detroit,3.9234418407307774,26163545800,0.5544124023090166,5147.0,5147.0,2226.0,1883.0,1647.0,236.0,0.5506530521835348,0.9932192171210008,5112.099310521791,5112.099310521791,2210.9059773113477,1870.2317858388444,1635.8320505982883,234.3997352405562
Force Detroit,3.9234418407307774,26163545900,0.49334678272321675,4325.0,4314.0,2401.0,1586.0,1361.0,225.0,0.4854755867008773,0.9840453078889227,4255.995956619591,4245.171458232813,2362.6927842413033,1560.6958583118314,1339.2856640368238,221.41019427500763
Force Detroit,3.9234418407307774,26163546000,0.4941528010663402,2198.0,2198.0,560.0,1461.0,1137.0,324.0,0.48931490751989015,0.990209721495031,2176.480967846078,2176.480967846078,554.5174440372173,1446.6964031042403,1125.8684533398502,320.82794976439004
Force Detroit,3.9234418407307774,26163546100,0.4888138449220117,3714.0,3714.0,1482.0,1571.0,1389.0,182.0,0.4833955107160059,0.988915342185387,3672.8315808765274,3672.8315808765274,1465.5725371187436,1553.586002573243,1373.6034102955025,179.98259227774042
Force Detroit,3.9234418407307774,26163546600,0.2802666816555259,1479.0,1479.0,607.0,888.0,718.0,170.0,0.2801687219703479,0.9996504768793804,1478.4830553046036,1478.4830553046036,606.7878394657839,887.6896234688897,717.7490423993951,169.94058106949467
Force Detroit,3.9234418407307774,26163546700,0.4936051631978386,2824.0,2824.0,638.0,1169.0,987.0,182.0,0.4857397237839548,0.9840653218395706,2779.0004688749473,2779.0004688749473,627.833675333646,1150.372361230458,971.2724726556562,179.09988857480187
Force Detroit,3.9234418407307774,26163547000,0.5042774489399006,3144.0,3144.0,1280.0,1601.0,1323.0,278.0,0.2562772190311939,0.508206780949542,1597.80211930536,1597.80211930536,650.5046796154137,813.6390563002167,672.3575711962441,141.28148510397267
Force Detroit,3.9234418407307774,26163547100,0.9420611416128405,3923.0,3901.0,1201.0,2235.0,1676.0,559.0,0.48653659707324476,0.5164596814175751,2026.0713302011472,2014.7092172099606,620.2680773825077,1154.2873879682804,865.5864260558559,288.70096191242453
Force Detroit,3.9234418407307774,26163985800,1.8825391244506788,0.0,0.0,0.0,0.0,0.0,0.0,0.00751530234714249,0.003992109512908764,0.0,0.0,0.0,0.0,0.0,0.0
Detroit Peoples Community,4.377687069302223,26163539200,0.698506386267579,4677.0,4588.0,770.0,2281.0,2176.0,105.0,0.196512878041987,0.2813329726189622,1315.7943129388862,1290.7556783757984,216.6263889166009,641.7205105438527,612.1805484188617,29.53996212499103
Detroit Peoples Community,4.377687069302223,26163539300,0.5076300917214871,3924.0,3924.0,958.0,1886.0,1778.0,108.0,0.023545077977678432,0.04638235274396719,182.00435216732726,182.00435216732726,44.434293928720564,87.47711727512211,82.46782317877366,5.009294096348456
Detroit Peoples Community,4.377687069302223,26163539500,0.6008492442938651,2566.0,2427.0,462.0,1326.0,1186.0,140.0,0.00043075174886413113,0.0007169048691579244,1.839577894259234,1.7399281174462826,0.33121004955096106,0.9506158565034077,0.8502491748212984,0.10036668168210942
Detroit Peoples Community,4.377687069302223,26163539600,0.4243555549900281,3405.0,3405.0,277.0,1576.0,1394.0,182.0,0.2398482741875697,0.5652059254725813,1924.5261762341393,1924.5261762341393,156.56204135590502,890.7645385447881,787.8970601087783,102.8674784360098
