GEOID,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units
26163530100,2917.0,2848.0,1078.0,1827.0,1380.0,447.0
26163530200,3656.0,3120.0,1261.0,1457.0,1131.0,326.0
26163530300,1273.0,1273.0,616.0,745.0,468.0,277.0
26163530400,1176.0,1176.0,628.0,829.0,483.0,346.0
26163530500,1872.0,1872.0,582.0,1248.0,847.0,401.0
26163530800,1221.0,1115.0,548.0,992.0,555.0,437.0
26163530900,1382.0,1378.0,557.0,1370.0,563.0,807.0
26163531100,1131.0,1083.0,509.0,936.0,576.0,360.0
26163531200,2499.0,2462.0,116.0,1196.0,867.0,329.0
26163531300,1269.0,1258.0,545.0,757.0,560.0,197.0
26163531400,1676.0,1676.0,711.0,895.0,556.0,339.0
26163531501,1628.0,1628.0,570.0,1133.0,738.0,395.0
26163531502,878.0,878.0,367.0,786.0,343.0,443.0
26163531600,1735.0,1735.0,549.0,1063.0,647.0,416.0
26163531700,915.0,915.0,324.0,1069.0,478.0,591.0
26163531800,1363.0,1363.0,470.0,1383.0,676.0,707.0
26163531900,742.0,629.0,193.0,616.0,220.0,396.0
26163532100,2127.0,2127.0,270.0,1145.0,832.0,313.0
26163532400,1148.0,1130.0,603.0,965.0,585.0,380.0
26163532600,2134.0,2131.0,294.0,1500.0,1180.0,320.0
26163532700,453.0,453.0,126.0,471.0,196.0,275.0
26163533000,1549.0,1398.0,398.0,768.0,599.0,169.0
26163533100,1761.0,1761.0,438.0,936.0,607.0,329.0
26163533200,969.0,969.0,302.0,919.0,415.0,504.0
26163533300,1215.0,1215.0,393.0,787.0,443.0,344.0
26163533400,1590.0,1590.0,542.0,1604.0,876.0,728.0
26163533600,1397.0,1397.0,435.0,1275.0,575.0,700.0
26163533800,1659.0,1649.0,492.0,1371.0,767.0,604.0
26163533900,2750.0,2608.0,599.0,2362.0,1810.0,552.0
26163534100,1476.0,1476.0,561.0,1060.0,737.0,323.0
26163534200,2709.0,2709.0,1493.0,1545.0,905.0,640.0
26163534300,983.0,983.0,214.0,617.0,399.0,218.0
26163534400,1847.0,1846.0,828.0,1027.0,678.0,349.0
26163534700,2655.0,2655.0,464.0,1490.0,1237.0,253.0
26163534800,2174.0,2174.0,671.0,1395.0,919.0,476.0
26163535000,2635.0,2635.0,625.0,1189.0,848.0,341.0
26163535100,1522.0,1503.0,505.0,892.0,616.0,276.0
26163535200,2303.0,2262.0,1193.0,1184.0,771.0,413.0
26163535300,3630.0,3630.0,993.0,1565.0,1289.0,276.0
26163535600,4737.0,4737.0,1019.0,1819.0,1672.0,147.0
26163535700,1432.0,1432.0,567.0,682.0,527.0,155.0
26163535800,3984.0,3984.0,1567.0,1873.0,1541.0,332.0
26163536100,3460.0,3438.0,1669.0,1675.0,1294.0,381.0
26163536200,2017.0,1994.0,384.0,1022.0,936.0,86.0
26163536300,2596.0,2549.0,606.0,1464.0,1005.0,459.0
26163536400,2424.0,2424.0,1084.0,1170.0,767.0,403.0
26163536500,1941.0,1927.0,235.0,1144.0,860.0,284.0
26163536600,2343.0,2343.0,549.0,1760.0,1074.0,686.0
26163536700,1246.0,1246.0,369.0,591.0,438.0,153.0
26163536800,1613.0,1542.0,681.0,748.0,557.0,191.0
26163536900,3608.0,3599.0,1009.0,1354.0,1161.0,193.0
26163537000,2992.0,2895.0,745.0,1482.0,1054.0,428.0
26163537100,2100.0,2100.0,669.0,1077.0,836.0,241.0
26163537200,638.0,638.0,357.0,403.0,214.0,189.0
26163537300,2156.0,2156.0,171.0,1174.0,814.0,360.0
26163537500,2976.0,2976.0,914.0,1351.0,1194.0,157.0
26163537600,3415.0,3294.0,1511.0,1397.0,1213.0,184.0
26163537700,2607.0,2607.0,781.0,1409.0,1088.0,321.0
26163537800,1266.0,1266.0,608.0,912.0,564.0,348.0
26163538100,2284.0,2284.0,173.0,1045.0,982.0,63.0
26163538200,1694.0,1694.0,39.0,705.0,646.0,59.0
26163538300,1969.0,1969.0,341.0,1779.0,975.0,804.0
26163538400,3766.0,3759.0,168.0,1496.0,1309.0,187.0
26163538500,5512.0,5512.0,844.0,2448.0,2066.0,382.0
26163538600,5827.0,5827.0,1076.0,2114.0,1948.0,166.0
26163538700,3574.0,3574.0,997.0,1484.0,1392.0,92.0
