pair_id,pair_cvi_name,zone_name,zone_type,treated,month,crime_count,calls_count,post,treated_post,log_calls,month_str,zone_id
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-10-01,4.0,37.5,0,0,3.651,2021-10,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-11-01,1.0,25.5,0,0,3.277,2021-11,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-12-01,3.0,36.5,0,0,3.624,2021-12,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-01-01,5.0,36.0,0,0,3.611,2022-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-02-01,6.0,16.0,0,0,2.833,2022-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-03-01,8.0,25.0,0,0,3.258,2022-03,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-04-01,7.5,18.0,0,0,2.944,2022-04,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-05-01,2.0,28.5,0,0,3.384,2022-05,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-06-01,5.0,21.5,0,0,3.114,2022-06,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-07-01,7.0,26.5,0,0,3.314,2022-07,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-08-01,4.0,36.0,0,0,3.611,2022-08,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-09-01,3.0,28.0,0,0,3.367,2022-09,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-10-01,5.0,34.0,0,0,3.555,2022-10,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-11-01,2.5,30.0,0,0,3.434,2022-11,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2022-12-01,4.0,22.5,0,0,3.157,2022-12,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-01-01,0.0,22.0,0,0,3.135,2023-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-02-01,6.0,40.0,0,0,3.714,2023-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-03-01,4.0,28.0,0,0,3.367,2023-03,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-04-01,6.5,25.0,0,0,3.258,2023-04,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-05-01,9.0,37.0,0,0,3.638,2023-05,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-06-01,8.0,30.0,0,0,3.434,2023-06,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-07-01,7.0,35.0,0,0,3.584,2023-07,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-08-01,3.0,40.5,1,1,3.726,2023-08,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-09-01,10.0,19.0,1,1,2.996,2023-09,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-10-01,1.0,23.0,1,1,3.178,2023-10,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-11-01,5.0,16.0,1,1,2.833,2023-11,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2023-12-01,4.0,19.5,1,1,3.02,2023-12,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-01-01,3.0,26.5,1,1,3.314,2024-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-02-01,3.0,19.0,1,1,2.996,2024-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-03-01,12.0,17.0,1,1,2.89,2024-03,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-04-01,2.0,22.0,1,1,3.135,2024-04,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-05-01,5.5,19.5,1,1,3.02,2024-05,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-06-01,4.0,21.5,1,1,3.114,2024-06,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-07-01,5.0,37.0,1,1,3.638,2024-07,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-08-01,4.0,15.5,1,1,2.803,2024-08,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-09-01,3.0,17.0,1,1,2.89,2024-09,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-10-01,1.0,11.5,1,1,2.526,2024-10,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-11-01,5.0,21.5,1,1,3.114,2024-11,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2024-12-01,3.5,21.0,1,1,3.091,2024-12,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-01-01,4.0,20.0,1,1,3.045,2025-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-02-01,5.0,8.0,1,1,2.197,2025-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-03-01,5.0,19.0,1,1,2.996,2025-03,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-04-01,5.0,16.5,1,1,2.862,2025-04,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-05-01,1.0,17.0,1,1,2.89,2025-05,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-06-01,7.0,30.5,1,1,3.45,2025-06,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-07-01,5.0,19.0,1,1,2.996,2025-07,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-08-01,3.0,22.0,1,1,3.135,2025-08,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-09-01,5.0,9.5,1,1,2.351,2025-09,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-10-01,4.0,20.0,1,1,3.045,2025-10,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-11-01,5.0,14.5,1,1,2.741,2025-11,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2025-12-01,2.0,10.0,1,1,2.398,2025-12,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2026-01-01,4.0,33.0,1,1,3.526,2026-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2026-02-01,2.0,11.0,1,1,2.485,2026-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2026-03-01,0.0,7.0,1,1,2.079,2026-03,Detroit 300
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-01-01,2.0,11.0,0,0,2.485,2021-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-02-01,0.0,6.0,0,0,1.946,2021-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-03-01,0.0,6.0,0,0,1.946,2021-03,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-04-01,0.0,10.0,0,0,2.398,2021-04,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-05-01,0.0,12.0,0,0,2.565,2021-05,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-06-01,4.0,14.0,0,0,2.708,2021-06,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-07-01,2.0,10.0,0,0,2.398,2021-07,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-08-01,2.0,8.0,0,0,2.197,2021-08,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-09-01,2.0,9.0,0,0,2.303,2021-09,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-10-01,1.0,14.0,0,0,2.708,2021-10,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-11-01,0.0,5.0,0,0,1.792,2021-11,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2021-12-01,0.0,4.0,0,0,1.609,2021-12,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-01-01,0.0,13.0,0,0,2.639,2022-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-02-01,2.0,3.0,0,0,1.386,2022-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-03-01,1.0,7.0,0,0,2.079,2022-03,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-04-01,4.0,8.0,0,0,2.197,2022-04,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-05-01,5.0,18.0,0,0,2.944,2022-05,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-06-01,7.0,20.0,0,0,3.045,2022-06,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-07-01,1.0,6.0,0,0,1.946,2022-07,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-08-01,2.0,12.0,0,0,2.565,2022-08,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-09-01,1.0,5.0,0,0,1.792,2022-09,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-10-01,3.0,7.0,0,0,2.079,2022-10,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-11-01,0.0,8.0,0,0,2.197,2022-11,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2022-12-01,2.0,11.0,0,0,2.485,2022-12,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-01-01,0.0,7.0,0,0,2.079,2023-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-02-01,0.0,4.0,0,0,1.609,2023-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-03-01,0.0,6.0,0,0,1.946,2023-03,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-04-01,0.0,4.0,0,0,1.609,2023-04,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-05-01,2.0,16.0,0,0,2.833,2023-05,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-06-01,0.0,11.0,0,0,2.485,2023-06,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-07-01,0.0,15.0,0,0,2.773,2023-07,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-08-01,0.0,15.0,1,0,2.773,2023-08,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-09-01,0.0,19.0,1,0,2.996,2023-09,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-10-01,0.0,8.0,1,0,2.197,2023-10,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-11-01,2.0,10.0,1,0,2.398,2023-11,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2023-12-01,0.0,12.0,1,0,2.565,2023-12,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-01-01,1.0,5.0,1,0,1.792,2024-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-02-01,0.0,5.0,1,0,1.792,2024-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-03-01,0.0,8.0,1,0,2.197,2024-03,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-04-01,2.0,6.0,1,0,1.946,2024-04,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-05-01,3.0,18.0,1,0,2.944,2024-05,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-06-01,3.0,10.0,1,0,2.398,2024-06,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-07-01,1.0,6.0,1,0,1.946,2024-07,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-08-01,2.0,1.0,1,0,0.693,2024-08,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-09-01,0.0,5.0,1,0,1.792,2024-09,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-10-01,0.0,4.0,1,0,1.609,2024-10,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-11-01,0.0,7.0,1,0,2.079,2024-11,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2024-12-01,0.0,5.0,1,0,1.792,2024-12,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-01-01,3.0,7.0,1,0,2.079,2025-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-02-01,1.0,9.0,1,0,2.303,2025-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-03-01,0.0,10.0,1,0,2.398,2025-03,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-04-01,1.0,5.0,1,0,1.792,2025-04,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-05-01,2.0,10.0,1,0,2.398,2025-05,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-06-01,3.0,11.0,1,0,2.485,2025-06,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-07-01,0.0,8.0,1,0,2.197,2025-07,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-08-01,0.0,14.0,1,0,2.708,2025-08,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-09-01,1.0,10.0,1,0,2.398,2025-09,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-10-01,2.0,1.0,1,0,0.693,2025-10,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-11-01,0.0,6.0,1,0,1.946,2025-11,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2025-12-01,0.0,9.0,1,0,2.303,2025-12,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2026-01-01,0.0,2.0,1,0,1.099,2026-01,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2026-02-01,2.0,5.0,1,0,1.792,2026-02,CAND_0269
PAIR_02,Detroit Friends & Family,CAND_0269,Control,0,2026-03-01,0.0,4.0,1,0,1.609,2026-03,CAND_0269
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-01-01,3.0,46.5,0,0,3.861,2021-01,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-02-01,4.5,21.0,0,0,3.091,2021-02,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-03-01,2.0,65.0,0,0,4.19,2021-03,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-04-01,2.0,99.5,0,0,4.61,2021-04,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-05-01,5.0,97.5,0,0,4.59,2021-05,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-06-01,7.0,93.0,0,0,4.543,2021-06,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-07-01,14.0,94.0,0,0,4.554,2021-07,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-08-01,5.0,121.5,0,0,4.808,2021-08,Detroit Friends & Family
PAIR_02,Detroit Friends & Family,Detroit Friends & Family,CVI,1,2021-09-01,7.0,90.0,0,0,4.511,2021-09,Detroit Friends & Family
